04-13-24,GeForce GTX 7800,132,106
10-08-09,GeForce GTX 7800,503,442
06-21-19,GeForce GTX 7800,234,221
08-12-12,GeForce GTX 7800,410,373
01-03-09,GeForce GTX 7800,513,459
12-24-15,GeForce GTX 7800,327,277
01-17-10,GeForce GTX 7800,464,423
08-05-11,GeForce GTX 7800,450,389
06-23-20,GeForce GTX 7800,227,195
11-04-10,GeForce GTX 7800,451,398
12-01-12,GeForce GTX 7800,405,347
06-08-20,GeForce GTX 7800,242,184
02-17-06,GeForce GTX 7800,564,537
05-16-09,GeForce GTX 7800,496,440
07-02-17,GeForce GTX 7800,295,261
07-25-18,GeForce GTX 7800,268,235
10-18-07,GeForce GTX 7800,546,468
06-05-16,GeForce GTX 7800,317,281
08-28-24,GeForce GTX 7800,146,94
05-14-11,GeForce GTX 7800,432,387
03-15-21,GeForce GTX 7800,203,163
07-20-13,GeForce GTX 7800,404,348
11-17-19,GeForce GTX 7800,239,183
06-29-10,GeForce GTX 7800,471,409
05-20-09,GeForce GTX 7800,486,448
04-04-11,GeForce GTX 7800,433,411
09-20-09,GeForce GTX 7800,492,450
05-05-20,GeForce GTX 7800,218,171
04-09-21,GeForce GTX 7800,212,154
08-13-14,GeForce GTX 7800,387,319
02-07-12,GeForce GTX 7800,423,390
10-03-05,GeForce GTX 7800,586,536
05-15-24,GeForce GTX 7800,134,97
09-08-19,GeForce GTX 7800,265,189
07-09-10,GeForce GTX 7800,475,406
12-26-06,GeForce GTX 7800,545,509
02-01-18,GeForce GTX 7800,269,232
07-14-21,GeForce GTX 7800,210,149
05-07-12,GeForce GTX 7800,435,369
11-15-23,GeForce GTX 7800,147,110
08-01-12,GeForce GTX 7800,425,360
09-13-23,GeForce GTX 7800,163,118
12-08-13,GeForce GTX 7800,381,328
07-18-18,GeForce GTX 7800,290,214
01-29-16,GeForce GTX 7800,328,295
10-03-19,GeForce GTX 7800,257,196
01-05-19,GeForce GTX 7800,273,220
01-03-18,GeForce GTX 7800,269,234
02-01-11,GeForce GTX 7800,437,396
07-08-05,GeForce GTX 7800,604,539
02-28-23,GeForce GTX 7800,151,114
11-19-12,GeForce GTX 7800,416,366
01-16-23,GeForce GTX 7800,181,107
02-04-22,GeForce GTX 7800,197,155
10-12-07,GeForce GTX 7800,548,494
07-31-06,GeForce GTX 7800,571,520
05-15-05,GeForce GTX 7800,592,542
06-14-21,GeForce GTX 7800,188,146
11-05-16,GeForce GTX 7800,333,275
07-08-17,GeForce GTX 7800,303,259
10-06-11,GeForce GTX 7800,444,398
01-16-11,GeForce GTX 7800,473,417
