01-01-05,GeForce GTX 7800,601,563
01-01-05,GeForce GTX 7800,600,554
01-01-05,GeForce GTX 7800,566,556
01-01-05,GeForce GTX 7800,597,573
01-01-05,GeForce GTX 7800,599,587
01-01-05,GeForce GTX 7800,612,531
01-01-05,GeForce GTX 7800,575,548
01-02-05,GeForce GTX 7800,601,508
01-02-05,GeForce GTX 7800,599,542
01-02-05,GeForce GTX 7800,604,600
01-02-05,GeForce GTX 7800,567,574
01-02-05,GeForce GTX 7800,610,538
01-03-05,GeForce GTX 7800,600,573
01-03-05,GeForce GTX 7800,602,502
01-03-05,GeForce GTX 7800,607,568
01-03-05,GeForce GTX 7800,592,572
01-03-05,GeForce GTX 7800,619,583
01-03-05,GeForce GTX 7800,620,614
01-04-05,GeForce GTX 7800,623,554
01-04-05,GeForce GTX 7800,616,553
01-04-05,GeForce GTX 7800,595,524
01-04-05,GeForce GTX 7800,598,572
01-04-05,GeForce GTX 7800,584,560
01-04-05,GeForce GTX 7800,593,551
01-04-05,GeForce GTX 7800,600,556
01-05-05,GeForce GTX 7800,646,538
01-05-05,GeForce GTX 7800,600,546
01-05-05,GeForce GTX 7800,571,573
01-05-05,GeForce GTX 7800,585,586
01-06-05,GeForce GTX 7800,586,561
01-06-05,GeForce GTX 7800,636,563
01-06-05,GeForce GTX 7800,589,529
01-06-05,GeForce GTX 7800,557,542
01-07-05,GeForce GTX 7800,573,551
01-07-05,GeForce GTX 7800,593,554
01-07-05,GeForce GTX 7800,578,538
01-07-05,GeForce GTX 7800,611,559
01-07-05,GeForce GTX 7800,564,571
01-08-05,GeForce GTX 7800,579,512
01-08-05,GeForce GTX 7800,596,611
01-08-05,GeForce GTX 7800,594,553
01-08-05,GeForce GTX 7800,614,528
01-08-05,GeForce GTX 7800,606,530
01-08-05,GeForce GTX 7800,611,560
01-08-05,GeForce GTX 7800,606,554
01-08-05,GeForce GTX 7800,640,556
01-08-05,GeForce GTX 7800,611,559
01-08-05,GeForce GTX 7800,580,531
01-08-05,GeForce GTX 7800,578,530
01-09-05,GeForce GTX 7800,590,545
01-09-05,GeForce GTX 7800,596,564
01-09-05,GeForce GTX 7800,627,579
01-10-05,GeForce GTX 7800,606,529
01-10-05,GeForce GTX 7800,621,536
01-10-05,GeForce GTX 7800,609,557
01-10-05,GeForce GTX 7800,579,537
01-10-05,GeForce GTX 7800,610,546
01-10-05,GeForce GTX 7800,658,539
01-10-05,GeForce GTX 7800,580,552
01-11-05,GeForce GTX 7800,594,507
01-11-05,GeForce GTX 7800,617,575
01-11-05,GeForce GTX 7800,617,558
01-11-05,GeForce GTX 7800,597,554
01-11-05,GeForce GTX 7800,598,534
